Title,Genre1,day,month,year,Runtime,IMDB Score,Language
Gaga: Five Foot Two,Documentary,22,9,2017,100,7,English
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow ,3,11,2020,14,7,English
Kingdom of Us,Documentary,13,10,2017,109,7,English
"Lorena, Light-Footed Woman",Documentary,20,11,2019,28,7,Spanish
Los Tigres del Norte at Folsom Prison,Documentary,15,9,2019,64,7,Spanish
Ma Rainey's Black Bottom,Drama,18,12,2020,94,7,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow ,18,12,2020,31,7,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,17,3,2021,99,7,English
Pele,Documentary,23,2,2021,108,7,English
ReMastered: Devil at the Crossroads,Documentary,26,4,2019,48,7,English
ReMastered: The Lion's Share,Documentary,17,5,2019,84,7,English
ReMastered: The Miami Showband Massacre,Documentary,22,3,2019,70,7,English
Resurface,Documentary,1,9,2017,27,7,English
Rocko's Modern Life: Static Cling,Animation ,9,8,2019,45,7,English
Rose Island,Comedy,9,12,2020,117,7,Italian
The Christmas Chronicles,Christmas,22,11,2018,104,7,English
The Dirt,Biopic,22,3,2019,108,7,English
The Night Comes for Us,Action-thriller,19,10,2018,121,7,Indonesian
AK vs AK,Thriller,24,12,2020,108,6.9,Hindi
Amanda Knox,Documentary,30,9,2016,92,6.9,English
Bigflo & Oil: Hip Hop Frenzy,Documentary,8,10,2020,100,6.9,French
Biggie: I Got a Story to Tell,Documentary,1,3,2021,97,6.9,English
Cops and Robbers,Animation ,28,12,2020,7,6.9,English
I Don't Feel at Home in This World Anymore,Drama,24,2,2017,96,6.9,English
Laerte-se,Documentary,19,5,2017,100,6.9,Portuguese
Mank,Biopic,4,12,2020,132,6.9,English
Our Souls at Night,Romance,29,9,2017,103,6.9,English
Outlaw King,Historical,9,11,2018,121,6.9,English
Pagglait,Comedy,26,3,2021,114,6.9,Hindi
ReMastered: Who Shot the Sheriff?,Documentary,12,10,2018,57,6.9,English
Seeing Allred,Documentary,9,2,2018,95,6.9,English
Spelling the Dream,Documentary,3,6,2020,83,6.9,English
The Claudia Kishi Club,Documentary,10,7,2020,17,6.9,English
The Half of It,Romance,1,5,2020,105,6.9,English
The Highwaymen,Crime drama,29,3,2019,131,6.9,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy ,23,5,2019,30,6.9,English
The Meyerowitz Stories (New and Selected),Comedy,13,10,2017,112,6.9,English
22-Jul,Drama,10,10,2018,144,6.8,English
7 años,Drama,28,10,2016,76,6.8,Spanish
A Futile and Stupid Gesture,Biographical,26,1,2018,101,6.8,English
A Life of Speed: The Juan Manuel Fangio Story,Documentary,20,3,2020,92,6.8,Spanish
A Love Song for Latasha,Documentary,21,9,2020,19,6.8,English
All in My Family,Documentary,3,5,2019,39,6.8,English
Always Be My Maybe,Romantic comedy,31,5,2019,102,6.8,English
Becoming,Documentary,6,5,2020,89,6.8,English
Long Live Brij Mohan,Comedy,3,8,2018,105,6.8,Hindi
Calibre,Thriller,29,6,2018,101,6.8,English
Death to 2020,Comedy,27,12,2020,70,6.8,English
GIMS: On the Record,Documentary,17,9,2020,96,6.8,French
Have a Good Trip: Adventures in Psychedelics,Documentary,11,5,2020,85,6.8,English
Heroin(e),Documentary,12,9,2017,39,6.8,English
Mercury 13,Documentary,20,4,2018,79,6.8,English
Saving Capitalism,Documentary,21,11,2017,73,6.8,English
Serious Men,Drama,2,10,2020,114,6.8,Hindi
The Boys in the Band,Drama,30,9,2020,121,6.8,English
The Boys in the Band: Something Personal,Aftershow ,30,9,2020,28,6.8,English
The Life Ahead,Drama,13,11,2020,95,6.8,Italian
The Other Side of the Wind,Drama,2,11,2018,122,6.8,English
The Trader,Documentary,9,2,2018,23,6.8,Georgian
To the Bone,Drama,14,7,2017,107,6.8,English
Tony Parker: The Final Shot,Documentary,6,1,2021,98,6.8,French
A Whisker Away,Anime,18,6,2020,104,6.7,Japanese
Ajeeb Daastaans,Drama,16,4,2021,142,6.7,Hindi
Arlo the Alligator Boy,Animated musical comedy,16,4,2021,92,6.7,English
"Bikram: Yogi, Guru, Predator",Documentary,20,11,2019,86,6.7,English
Blame!,Anime,20,5,2017,106,6.7,Japanese
Blue Miracle,Drama,27,5,2021,95,6.7,English
CounterPunch,Documentary,16,6,2017,91,6.7,English
"Crack: Cocaine, Corruption & Conspiracy",Documentary,11,1,2021,89,6.7,English
Extraction,Action,24,4,2020,117,6.7,English
Giving Voice,Documentary,11,12,2020,90,6.7,English
Hillbilly Elegy,Drama,24,11,2020,117,6.7,English
Hope Frozen: A Quest to Live Twice,Documentary,15,9,2020,80,6.7,English
Imperial Dreams,Drama,3,2,2017,87,6.7,English
Just Another Christmas,Comedy,3,12,2020,101,6.7,Portuguese
Little Miss Sumo,Documentary,28,10,2019,19,6.7,Japanese
Malcolm & Marie,Romantic drama,5,2,2021,106,6.7,English
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,7,2,2017,54,6.7,English
Moxie,Drama,3,3,2021,111,6.7,English
Night in Paradise,Drama,9,4,2021,132,6.7,Korean
Paper Lives,Drama,12,3,2021,97,6.7,Turkish
Parchis: The Documentary,Documentary,10,7,2019,106,6.7,Spanish
Tallulah,Comedy,29,7,2016,111,6.7,English
The Old Guard,Superhero,10,7,2020,124,6.7,English
Tony Robbins: I Am Not Your Guru,Documentary,15,7,2016,116,6.7,English
Upstarts,Drama,18,10,2019,112,6.7,Hindi
Bad Trip,Hidden-camera prank comedy,26,3,2021,86,6.6,English
Bird Box,Psychological thriller,21,12,2018,124,6.6,English
Bulbbul,Horror,24,6,2020,94,6.6,Hindi
Crazy About Her,Romantic comedy,26,2,2021,102,6.6,Spanish
Elisa & Marcela,Romance,7,6,2019,118,6.6,Spanish
I'll Sleep When I'm Dead,Documentary,19,8,2016,79,6.6,English
I'm Thinking of Ending Things,Psychological thriller,4,9,2020,134,6.6,English
It Takes a Lunatic,Documentary,25,10,2019,126,6.6,English
Milestone,Drama,7,5,2021,98,6.6,Hindi
Recovery Boys,Documentary,29,6,2018,89,6.6,English
ReMastered: Who Killed Jam Master Jay?,Documentary,7,12,2018,58,6.6,English
Shawn Mendes: In Wonder,Documentary,23,11,2020,83,6.6,English
Space Sweepers,Science fiction,5,2,2021,136,6.6,Korean
The American Meme,Documentary,7,12,2018,98,6.6,English
The Angel,Spy thriller,14,9,2018,114,6.6,English
The Crimes That Bind,Crime drama,20,8,2020,99,6.6,Spanish
The Red Sea Diving Resort,Spy thriller,31,7,2019,130,6.6,English
What Would Sophia Loren Do?,Documentary,15,1,2021,32,6.6,English
A 3 Minute Hug,Documentary,28,10,2019,28,6.5,English
All the Bright Places,Romance,28,2,2020,108,6.5,English
All Together Now,Drama,28,8,2020,93,6.5,English
Altered Carbon: Resleeved,Anime,19,3,2020,74,6.5,Japanese
Antoine Griezmann: The Making of a Legend,Documentary,21,3,2019,60,6.5,French
Canvas,Animation ,11,12,2020,9,6.5,English
Chadwick Boseman: Portrait of an Artist,Documentary,17,4,2021,21,6.5,English
Chopsticks,Comedy,31,5,2019,100,6.5,Hindi
Da 5 Bloods,War drama,12,6,2020,155,6.5,English
Dolly Parton: A MusiCares Tribute,Documentary,7,4,2021,55,6.5,English
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,26,6,2020,123,6.5,English
Gerald's Game,Horror thriller,29,9,2017,103,6.5,English
His House,Thriller,30,10,2020,93,6.5,English
Jingle Jangle: A Christmas Journey,Family,13,11,2020,119,6.5,English
Life Overtakes Me,Documentary,14,6,2019,40,6.5,English
Lust Stories,Drama,15,6,2018,120,6.5,Hindi
Monster,Drama,7,5,2021,98,6.5,English
Mowgli: Legend of the Jungle,Adventure,7,12,2018,104,6.5,English
Nobody Knows I'm Here,Drama,24,6,2020,91,6.5,Spanish
Nobody Speak: Trials of the Free Press,Documentary,23,6,2017,95,6.5,English
Oxygen,Science fiction thriller,12,5,2021,101,6.5,French
Set It Up,Romantic comedy,15,6,2018,105,6.5,English
The Incredible Jessica James,Comedy,28,7,2017,83,6.5,English
Tigertail,Drama,10,4,2020,91,6.5,English
Tramps,Romance,21,4,2017,83,6.5,English
What Did Jack Do?,Drama ,20,1,2020,17,6.5,English
Anelka: Misunderstood,Documentary,5,8,2020,94,6.4,French
"Ariana Grande: Excuse Me, I Love You",Concert Film,21,12,2020,97,6.4,English
ARQ,Science fiction,16,9,2016,88,6.4,English
Birders,Documentary,25,9,2019,37,6.4,English
Como Caído del Cielo,Musical comedy,24,12,2019,112,6.4,Spanish
First Match,Sports-drama,30,3,2018,102,6.4,English
Fractured,Thriller,11,10,2019,100,6.4,English
Irreplaceable You,Drama,16,2,2018,96,6.4,English
Isi & Ossi,Romantic comedy,14,2,2020,113,6.4,German
John Was Trying to Contact Aliens,Documentary,20,8,2020,16,6.4,English
Layla Majnun,Romantic drama,11,2,2021,119,6.4,Indonesian
Murder to Mercy: The Cyntoia Brown Story,Documentary,29,4,2020,97,6.4,English
My Own Man,Documentary,13,12,2014,81,6.4,English
Nappily Ever After,Comedy-drama,21,9,2018,98,6.4,English
Over the Moon,Animation,23,10,2020,95,6.4,English
Street Flow,Drama,12,10,2019,96,6.4,French
Strong Island,Documentary,15,9,2017,107,6.4,English
